###
3/01,	#code,	auto
3/01a,	3/02,	feel_surroundings
3/01a,	3/03a,	sit_in_despair
3/01a,	3/03b,	do_not_give_up
3/01a,	3/04,	climb_out
3/01a,	3/13,	dig
3/01b,	#&("3/01a"),	auto
3/01c,	#&("3/01a"),	auto
3/02,	#&("3/01a"),	auto
3/03a,	4/98,	auto
3/03b,	#code,	auto
3/03b1,	#&("3/01a"),	auto
3/03b2,	#&("3/01a"),	auto
3/03b3,	#&("3/01a"),	auto
3/04,	#code,	auto
3/04a,	#Darkness_Return,	auto
3/04b,	#&("3/04a"),	auto
3/13,   #code,  auto
3/13a,	#&("3/01a"),	auto
3/13a,  3/13,   examine_rock
3/13b,	#&("3/01a"),	auto
3/13b,  3/13,   pry_rock
3/13c,	#&("3/01a"),	auto
3/13c,  3/13,   reply
3/13d,	4/98,	auto
###
