###
4/00a,  4/00b,  yes // yes
4/00a,  4/00c,  no // no
4/00b,  0/00b,  auto // time to play!
4/00,	0/00b,	auto // start
4/01,   #&(#prev),  auto // interrupt_narrator
4/02,	4/98,	auto // wake_up
4/03,	#&(#prev),  auto // do_nothing
4/04,	0/00c,	auto // restart
4/05,   #prev,  auto // user_error
4/06,   #prev,  auto // creator_error
4/07,   #prev,  auto // silence or repeat?
4/08,   #prev,  auto // ignore / couldn't hear properly
4/09,   #prev,  auto // date
4/10,   #prev,  auto // time
4/98,	0/00a,	yes
4/98,	4/99,	no
4/99,   #quit,  auto
###
